Epoch,Loss,Value
14,kl_loss_9,3.3804
14,loss,4996.9175
15,recon_loss,4952.328
15,kl_loss,18.4503
15,kl_loss_0,2.4225
15,kl_loss_1,0.0195
15,kl_loss_2,2.4719
15,kl_loss_3,2.839
15,kl_loss_4,2.6206
15,kl_loss_5,2.643
15,kl_loss_6,0.0617
15,kl_loss_7,0.0189
15,kl_loss_8,1.9478
15,kl_loss_9,3.4055
15,loss,5026.1292
16,recon_loss,4935.0547
16,kl_loss,18.6182
16,kl_loss_0,2.4898
16,kl_loss_1,0.0221
16,kl_loss_2,2.474
16,kl_loss_3,2.8017
16,kl_loss_4,2.6056
16,kl_loss_5,2.7683
16,kl_loss_6,0.0304
16,kl_loss_7,0.015
16,kl_loss_8,1.9975
16,kl_loss_9,3.4139
16,loss,5009.5275
17,recon_loss,4888.7391
17,kl_loss,18.5124
17,kl_loss_0,2.4454
17,kl_loss_1,0.0192
17,kl_loss_2,2.4923
17,kl_loss_3,2.8153
17,kl_loss_4,2.5788
17,kl_loss_5,2.6705
17,kl_loss_6,0.0262
17,kl_loss_7,0.0162
17,kl_loss_8,2.033
17,kl_loss_9,3.4154
17,loss,4962.7885
18,recon_loss,4888.5634
18,kl_loss,18.6354
18,kl_loss_0,2.5435
18,kl_loss_1,0.0151
18,kl_loss_2,2.438
18,kl_loss_3,2.8288
18,kl_loss_4,2.6274
18,kl_loss_5,2.7298
18,kl_loss_6,0.0307
18,kl_loss_7,0.0197
18,kl_loss_8,1.9696
18,kl_loss_9,3.4329
18,loss,4963.1051
19,recon_loss,4872.7311
19,kl_loss,18.8246
19,kl_loss_0,2.5542
19,kl_loss_1,0.0169
19,kl_loss_2,2.4963
19,kl_loss_3,2.855
19,kl_loss_4,2.6482
19,kl_loss_5,2.7309
19,kl_loss_6,0.0495
19,kl_loss_7,0.0177
19,kl_loss_8,2.0722
19,kl_loss_9,3.3838
19,loss,4948.0295
20,recon_loss,4870.471
20,kl_loss,18.9203
20,kl_loss_0,2.4388
20,kl_loss_1,0.0258
20,kl_loss_2,2.4009
20,kl_loss_3,2.7377
20,kl_loss_4,2.6705
20,kl_loss_5,2.6585
20,kl_loss_6,0.6145
20,kl_loss_7,0.0202
20,kl_loss_8,2.0014
20,kl_loss_9,3.352
20,loss,4946.1523
21,recon_loss,4840.2429
21,kl_loss,20.3817
21,kl_loss_0,2.511
21,kl_loss_1,0.0187
21,kl_loss_2,2.4765
21,kl_loss_3,2.8165
21,kl_loss_4,2.6615
21,kl_loss_5,2.7359
21,kl_loss_6,1.7161
21,kl_loss_7,0.0193
21,kl_loss_8,2.0445
21,kl_loss_9,3.3817
21,loss,4921.7697
22,recon_loss,4821.0104
22,kl_loss,20.3762
22,kl_loss_0,2.4464
22,kl_loss_1,0.0179
22,kl_loss_2,2.478
22,kl_loss_3,2.8111
22,kl_loss_4,2.6374
22,kl_loss_5,2.6707
22,kl_loss_6,1.8405
22,kl_loss_7,0.0203
22,kl_loss_8,2.0592
22,kl_loss_9,3.3945
22,loss,4902.515
23,recon_loss,4842.0042
23,kl_loss,20.1646
23,kl_loss_0,2.4408
23,kl_loss_1,0.024
23,kl_loss_2,2.4522
23,kl_loss_3,2.7357
23,kl_loss_4,2.6567
23,kl_loss_5,2.652
23,kl_loss_6,1.826
23,kl_loss_7,0.0222
23,kl_loss_8,1.9955
23,kl_loss_9,3.3597
23,loss,4922.6627
24,recon_loss,4828.1222
24,kl_loss,20.7015
